order_id,customer_id,order_date,order_amount,order_status,product_category
892a07a4-d252-4775-85e0-73077143e1c6,966,11/27/2024,317.64,Cancelled,Home & Garden
ae160758-e187-47b2-9350-032f88f55491,345,3/27/2023,645.87,Completed,Home & Garden
7c50456e-6123-45cc-aa19-128bef3754d6,503,3/31/2024,880.86,Pending,Clothing
c788b56b-3716-4cd9-a827-d4dc401ba00c,385,8/9/2023,876.83,Cancelled,Home & Garden
925ab5b1-adb1-4302-a70b-1c2db724e02b,817,4/19/2023,264.53,Pending,Home & Garden
d95500d8-bcde-4e12-a2e5-bfc1e3d61c24,759,4/20/2023,517.9,Cancelled,Clothing
42bdae5f-8f5e-45c1-9537-05cb135868ae,444,10/7/2024,890.04,Pending,Home & Garden
45416b15-70c5-4a0b-a11c-978fec84d457,103,9/24/2023,573.23,Completed,Toys
5c33e077-6394-4107-bade-be2c6621ec29,820,5/27/2024,599.8,Pending,Toys
1c4108fe-9266-4646-b81b-8658ae23635b,444,11/26/2024,761.24,Pending,Toys
943fe5a9-b753-4630-aa4b-aa4dab89f391,218,7/4/2024,750.83,Pending,Clothing
48e78ab2-15ff-47a1-8e0f-1a823b9b4c87,460,6/19/2024,467.76,Pending,Home & Garden
9b132eeb-f754-4aae-91c8-4096e374fef1,630,5/6/2024,826.48,Completed,Clothing
3105629b-af0d-4ad0-9bfc-a881a85156f0,103,4/15/2023,990.32,Cancelled,Clothing
003ee1e2-5f82-492b-9400-651073ced890,381,1/21/2024,193.48,Pending,Electronics
a78c0889-8d27-4b33-9b04-5bc3634e4ed5,123,7/23/2023,516.73,Pending,Electronics
1467d114-f5cc-482e-ba3d-2f75a6ffdc5d,646,12/10/2023,396.65,Pending,Electronics
5c4edc32-c241-4ab5-8107-2106002ff695,840,4/14/2023,621.04,Pending,Toys
e2526fd4-f6bf-4642-926d-c753a288c140,581,8/3/2023,748.19,Cancelled,Books
7daf4236-2c06-4d39-92ca-f7a09c3c505b,140,11/25/2023,393.95,Cancelled,Electronics
e34a2491-d0ee-4fef-9a6e-15b97fc520db,250,2/11/2024,771.97,Cancelled,Electronics
ce6e73f2-832e-4e27-b06d-7b03708e1520,854,8/13/2023,463.92,Cancelled,Clothing
963af989-68a8-4c84-8903-4cdc5b7f4f17,875,3/12/2023,553.62,Completed,Home & Garden
17948fe1-5184-43ce-90dc-162151659151,692,5/23/2023,642.71,Pending,Toys
581a525c-791c-4739-b124-baa7d8203f8b,795,3/28/2024,456.63,Cancelled,Books
2ff7cb6f-ebfb-4ad8-8cf0-cab60c4f3204,966,7/20/2023,173.88,Completed,Home & Garden
d1c4f922-5a9d-4c0e-b2e3-b444dcac1cda,61,7/23/2024,922.3,Pending,Toys
cdcea314-e69f-4dd9-9684-cc74162c2650,584,10/1/2024,542.36,Cancelled,Clothing
6bc0f29d-d7fe-4dde-a781-246fb8bef26d,875,9/12/2023,686.23,Pending,Books
e97ddae1-fe43-46b4-929a-5e6f3554f988,629,1/4/2023,802.14,Completed,Home & Garden
4988e17a-4287-41b5-a483-b150f2814d12,5,11/11/2023,555.63,Cancelled,Books
df2c3cfa-cbd5-482a-b9bc-5701ad4ffe2a,709,6/2/2023,729.73,Completed,Toys
a2c85c0c-3b57-40c5-abf9-ff515003bd0b,57,5/23/2023,259.86,Completed,Books
f2f070a7-1785-47c7-a277-7c9ee675c55b,472,11/9/2023,14.51,Completed,Books
51b55b79-bb32-4c1b-b6f3-6072e920225e,545,10/17/2023,34.74,Pending,Home & Garden
487f051a-e0d2-4dce-bf0e-0a3a6a0b111c,503,10/20/2023,673.81,Pending,Books
cedd9a55-0b03-4ad8-a13e-8672bad56d7a,72,4/20/2024,236.35,Completed,Electronics
2506a66c-c5c8-4ef0-bd50-50cadf6c1877,500,2/2/2024,671.63,Completed,Books
cc4db9da-e984-4821-8f53-08496ba83178,667,11/20/2024,631.66,Pending,Home & Garden
da44c68d-efbf-4470-8df3-31b3f3247a0b,698,11/2/2023,390.88,Pending,Clothing
a1eafd2b-f7db-43e0-8af9-d7673b7062c9,476,10/4/2024,497.57,Cancelled,Electronics
4095d629-50fd-42e8-98db-a39f5f0859f4,121,10/22/2024,594.44,Pending,Toys
f266e9d7-daca-416a-8527-28a319f5a7f1,924,10/6/2023,71.57,Completed,Electronics
800968d0-20a9-4347-a5b3-39597b1345c3,311,11/6/2024,80.18,Pending,Electronics
3a1da8db-aff8-4772-9449-b60519cc513b,891,12/19/2023,189.17,Completed,Electronics
7bc3d54b-7d2a-493d-ab09-c9ea58763b2a,695,3/17/2024,997.58,Cancelled,Books
5ee7d67e-c1b4-4030-9a98-5b5cdd20936d,470,10/11/2023,841.84,Cancelled,Home & Garden
52cd65ae-2b0e-4fd3-a687-5573b5bd6e2f,421,2/4/2024,337.23,Completed,Books
7cc74d29-0937-42ba-8986-66ab635f0361,340,8/16/2024,780.03,Pending,Home & Garden
fa2903b4-c2b5-4d42-acde-1f8657caae47,461,9/13/2024,274.96,Completed,Home & Garden
ef35f0db-fde4-49e7-a4c2-33763698a684,530,11/7/2023,969.35,Pending,Clothing
4d49a168-706f-42e3-9699-23547771c168,235,10/8/2023,972.69,Completed,Home & Garden
e8fe0b5c-eddd-4a42-9363-b1f30f42d634,108,8/23/2024,528.12,Pending,Books
d34dce4e-bf1e-456a-965d-26fb2d423c92,824,4/25/2023,883.59,Cancelled,Clothing
d1e038a1-67d2-48cf-bcd1-af44017ac9a8,184,3/27/2024,121.95,Completed,Toys
4254cd38-5ec7-43d5-b40d-e9df2e26d8a3,819,2/13/2024,498.3,Cancelled,Books
5502dab4-fde2-4f69-866e-e2bc4afd1506,26,10/23/2024,374.92,Completed,Home & Garden
67c3dab1-d731-4276-b31e-7ad6f79ad962,235,3/24/2023,577.46,Pending,Toys
e3e67743-dfb3-44d8-a187-949179202a02,856,6/20/2024,747.45,Pending,Electronics
bae27441-e7ae-4a8d-ac0d-47fe7359477f,80,3/8/2024,694.09,Completed,Home & Garden
2a656fb5-57c3-49ef-b3c2-32f31a317452,963,2/8/2023,288.5,Completed,Home & Garden
9667e2bc-3e9c-4de1-acff-adc4d5b98019,829,1/10/2023,644.6,Cancelled,Clothing
6d6159af-9c97-491b-926a-b9022a6e1efe,961,5/21/2024,844.95,Completed,Clothing
0ca4652f-7a7c-4fe8-a482-3ef2ecc7e487,144,10/4/2023,783.2,Cancelled,Books
2b7ab184-86f8-46b6-ba7e-fdfa2595693c,846,12/18/2023,535.99,Completed,Clothing
8de54569-a4dc-4ef6-83cf-4477593cef85,418,2/7/2024,81.77,Cancelled,Books
17ff09f7-397e-440e-b4f5-1c7d62f3cca2,648,9/24/2023,218.59,Completed,Home & Garden
ab377a34-961a-4ca4-a188-d21e675a7669,204,1/30/2023,763.47,Pending,Toys
c2d18c22-fc11-42d2-87e3-b5cbd298e25f,862,10/23/2024,709.94,Cancelled,Home & Garden
791c94c7-851e-48bf-ae09-75c6ec7c7d36,130,7/24/2023,722.24,Cancelled,Home & Garden
6560d389-b720-43ae-8de8-9687e99a102d,130,12/18/2023,293.8,Cancelled,Toys
cf476d3f-371e-4b40-a53e-680a35d46350,576,5/4/2023,610.25,Completed,Electronics
409e6a4f-792d-43ec-b319-61f88642d581,816,9/26/2024,321.99,Completed,Books
f3d04346-257d-4a70-b69a-83db4c9977ff,617,11/7/2023,472.68,Cancelled,Home & Garden
d92562fe-b21d-4fd6-914d-d31ec0996d3a,338,8/18/2024,692.19,Pending,Clothing
3d0cb1ff-c135-4ed8-bcc3-32fa4b90daa9,580,8/21/2024,402.72,Completed,Home & Garden
541ac789-2483-46c2-b2fd-0b40245149d8,207,3/14/2024,195.93,Pending,Books
1755ca6a-1bab-4fd9-bab6-27cc63005a5b,509,12/11/2023,36.4,Completed,Home & Garden
571b8928-a0b8-4493-a3fe-5d4239dce9ec,192,12/19/2024,513.86,Cancelled,Clothing
272da516-5079-42d4-aec5-021843b4bfa0,88,6/3/2023,270.44,Cancelled,Clothing
fd08deee-8b64-4b18-b61e-ab0cc120a6c5,575,3/10/2023,233.6,Pending,Clothing
1356b72c-7d27-4776-8ebc-6f522ada3dce,499,11/10/2023,512.74,Completed,Electronics
5d3a3bb7-dfee-4c82-b14e-3deebf5ea603,153,9/17/2023,376.45,Pending,Books
a47a039a-f41c-493c-a225-2230fe90b16e,451,8/18/2024,494.84,Completed,Books
a1827865-a988-44b3-b723-f8f49f126357,860,6/14/2023,849.43,Pending,Toys
325caeeb-d83c-4ef4-86e5-817c67a8e1c9,347,5/27/2024,65.98,Completed,Home & Garden
